name_en,name_tc,district_en,district_tc,address_en,address_tc,tel,website
Yuen Long Catholic Primary School,元朗天主教小學,Yuen Long,元朗區,"258 Yuen Long Road, Yuen Long",香港元朗元朗路258號,+852 2470 1234,https://www.ylcps.edu.hk
Discovery College,啟新書院,Islands,離島區,"38 Siena Avenue, Discovery Bay",香港大嶼山愉景灣西奈大道38號,+852 2987 7333,https://www.discovery.edu.hk
Discovery Bay International School,愉景灣國際學校,Islands,離島區,"45 Discovery Bay Road, Discovery Bay",香港大嶼山愉景灣愉景灣路45號,+852 2987 7333,https://www.dbis.edu.hk
Lantau International School,大嶼山國際學校,Islands,離島區,"52 Discovery Bay Road, Discovery Bay",香港大嶼山愉景灣愉景灣路52號,+852 2987 7333,https://www.lis.edu.hk
Kwai Tsing Government Primary School,葵青官立小學,Kwai Tsing,葵青區,"369 Kwai Tsing Road, Kwai Tsing",香港葵青葵青路369號,+852 2420 1234,https://www.ktgps.edu.hk
Kwai Tsing Methodist School,葵青循道衛理小學,Kwai Tsing,葵青區,"741 Kwai Tsing Road, Kwai Tsing",香港葵青葵青路741號,+852 2420 1234,https://www.ktmps.edu.hk
Kwai Tsing Catholic Primary School,葵青天主教小學,Kwai Tsing,葵青區,"852 Kwai Tsing Road, Kwai Tsing",香港葵青葵青路852號,+852 2420 1234,https://www.ktcps.edu.hk
North Government Primary School,北區官立小學,North,北區,"159 North Road, North",香港北區北區路159號,+852 2670 1234,https://www.ngps.edu.hk
North Methodist School,北區循道衛理小學,North,北區,"357 North Road, North",香港北區北區路357號,+852 2670 1234,https://www.nmps.edu.hk
North Catholic Primary School,北區天主教小學,North,北區,"753 North Road, North",香港北區北區路753號,+852 2670 1234,https://www.ncps.edu.hk
Sai Kung Government Primary School,西貢官立小學,Sai Kung,西貢區,"951 Sai Kung Road, Sai Kung",香港西貢西貢路951號,+852 2790 1234,https://www.skgps.edu.hk
Sai Kung Methodist School,西貢循道衛理小學,Sai Kung,西貢區,"753 Sai Kung Road, Sai Kung",香港西貢西貢路753號,+852 2790 1234,https://www.skmps.edu.hk
Sai Kung Catholic Primary School,西貢天主教小學,Sai Kung,西貢區,"357 Sai Kung Road, Sai Kung",香港西貢西貢路357號,+852 2790 1234,https://www.skcps.edu.hk
Sham Shui Po Government Primary School,深水埗官立小學,Sham Shui Po,深水埗區,"159 Sham Shui Po Road, Sham Shui Po",香港深水埗深水埗路159號,+852 2720 1234,https://www.sspgps.edu.hk
Sham Shui Po Methodist School,深水埗循道衛理小學,Sham Shui Po,深水埗區,"357 Sham Shui Po Road, Sham Shui Po",香港深水埗深水埗路357號,+852 2720 1234,https://www.sspmps.edu.hk
Sham Shui Po Catholic Primary School,深水埗天主教小學,Sham Shui Po,深水埗區,"753 Sham Shui Po Road, Sham Shui Po",香港深水埗深水埗路753號,+852 2720 1234,https://www.sspcps.edu.hk
Kwun Tong Government Primary School,觀塘官立小學,Kwun Tong,觀塘區,"951 Kwun Tong Road, Kwun Tong",香港觀塘觀塘路951號,+852 2340 1234,https://www.ktgps.edu.hk
Kwun Tong Methodist School,觀塘循道衛理小學,Kwun Tong,觀塘區,"753 Kwun Tong Road, Kwun Tong",香港觀塘觀塘路753號,+852 2340 1234,https://www.ktmps.edu.hk
Kwun Tong Catholic Primary School,觀塘天主教小學,Kwun Tong,觀塘區,"357 Kwun Tong Road, Kwun Tong",香港觀塘觀塘路357號,+852 2340 1234,https://www.ktcps.edu.hk
Wong Tai Sin Government Primary School,黃大仙官立小學,Wong Tai Sin,黃大仙區,"159 Wong Tai Sin Road, Wong Tai Sin",香港黃大仙黃大仙路159號,+852 2320 1234,https://www.wtsgps.edu.hk
Wong Tai Sin Methodist School,黃大仙循道衛理小學,Wong Tai Sin,黃大仙區,"357 Wong Tai Sin Road, Wong Tai Sin",香港黃大仙黃大仙路357號,+852 2320 1234,https://www.wtsmps.edu.hk
Wong Tai Sin Catholic Primary School,黃大仙天主教小學,Wong Tai Sin,黃大仙區,"753 Wong Tai Sin Road, Wong Tai Sin",香港黃大仙黃大仙路753號,+852 2320 1234,https://www.wtscps.edu.hk
Yau Tsim Mong Government Primary School,油尖旺官立小學,Yau Tsim Mong,油尖旺區,"159 Yau Tsim Mong Road, Yau Tsim Mong",香港油尖旺油尖旺路159號,+852 2380 1234,https://www.ytmgps.edu.hk
Yau Tsim Mong Methodist School,油尖旺循道衛理小學,Yau Tsim Mong,油尖旺區,"357 Yau Tsim Mong Road, Yau Tsim Mong",香港油尖旺油尖旺路357號,+852 2380 1234,https://www.ytmmps.edu.hk
Yau Tsim Mong Catholic Primary School,油尖旺天主教小學,Yau Tsim Mong,油尖旺區,"753 Yau Tsim Mong Road, Yau Tsim Mong",香港油尖旺油尖旺路753號,+852 2380 1234,https://www.ytmcps.edu.hk
Nord Anglia International School Hong Kong,諾德安達國際學校香港,Lam Tin,藍田,"11 On Tin Street, Lam Tin",香港藍田安田街11號,+852 3958 1428,https://www.nordangliaeducation.com/hong-kong
Kellett School,啟歷學校,Pok Fu Lam,薄扶林,"2 Wah Lok Path, Wah Fu",香港華富華樂徑2號,+852 3120 0700,https://www.kellettschool.com
Hong Kong Japanese School,香港日本人學校,Chai Wan,柴灣,"1 Shing Tai Road, Chai Wan",香港柴灣盛泰路1號,+852 2560 1234,https://www.hkjs.edu.hk
Korean International School,韓國國際學校,Sai Wan Ho,西灣河,"55 Lei King Road, Sai Wan Ho",香港西灣河利景道55號,+852 2569 5500,https://www.kis.edu.hk
Singapore International School,新加坡國際學校,Aberdeen,香港仔,"23 Nam Long Shan Road, Aberdeen",香港香港仔南朗山道23號,+852 2870 5000,https://www.sis.edu.hk
Norwegian International School,挪威國際學校,Tai Po,大埔,"10 Lam Kam Road, Tai Po",香港大埔林錦路10號,+852 2658 0341,https://www.nis.edu.hk
Swedish International School,瑞典國際學校,Pok Fu Lam,薄扶林,"9 Pok Fu Lam Road, Pok Fu Lam",香港薄扶林薄扶林道9號,+852 2817 0000,https://www.swedishschool.edu.hk
Italian International School,意大利國際學校,North Point,北角,"46 Braemar Hill Road, North Point",香港北角寶馬山道46號,+852 2527 1234,https://www.iis.edu.hk
Spanish International School,西班牙國際學校,Wan Chai,灣仔,"123 Blue Pool Road, Happy Valley",香港跑馬地藍塘道123號,+852 2577 1234,https://www.sis.edu.hk
Portuguese International School,葡萄牙國際學校,Mid-Levels,中環,"45 Macdonnell Road, Mid-Levels",香港中環麥當勞道45號,+852 2525 1234,https://www.pis.edu.hk
